id,First Name,Last Name,DOB,Email,Phone,Consent,Address
N001,Hector,Ramos,1994-02-11,,,granted,
N002,Jonathon,Reyes,04/12/1990,,,granted,
N003,David,Nguyen,1992-09-30,,,granted,
N004,James,Carter,1972-03-18,,,granted,
N005,Kathryn,O Brien,Feb 20 1978,,,granted,
N006,Aisha,Okafor,1988-12-05,,,granted,
N007,Maria,Lopez,1996-02-22,,,granted,
N008,Maria,Gonzales,11/03/1985,maria.g@example.org,,granted,
N009,Omar,Said,2000-10-10,,,revoked,
N010,Bob,Smith,1965-07-19,,530-555-0143,granted,
N011,David,Nguyen,09/30/1992,,,granted,
N012,Yusuf,Ali,1990-01-15,,,granted,
N013,Muhammad,Karim,1979-03-02,,,granted,982 Willow Creek Rd
N014,Yusuf,Abadi,1991-08-23,yousef.abadi@example.org,,granted,
N015,Mohammed,Karim,1985-11-27,,,granted,
N016,Ana,Garcia Lopez,04/19/1987,,,granted,
N017,Sofia,Garcia,1971-10-08,,,granted,
N018,Zhang,Wei,1990-11-12,,530-555-0177,granted,
N019,Wei,Zhang,1962-05-08,,,granted,
N020,Earl,Whitfield,,,,granted,Rural Route 2 Box 152
N021,Walter,Odom Jr,1968-03-15,,,granted,PO Box 88
N022,Dorothy,Mills,,,,granted,417 N Elm St
